"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","01","3","L","01","GB_T_4754_2002_ISIC_Rev3"
"2002","L","01","3","M","011","GB_T_4754_2002_ISIC_Rev3"
"2002","L","01","3","S","0111","GB_T_4754_2002_ISIC_Rev3"
"2002","L","01","3","S","0112","GB_T_4754_2002_ISIC_Rev3"
"2002","L","01","3","S","0113","GB_T_4754_2002_ISIC_Rev3"
"2002","L","02","3","L","02","GB_T_4754_2002_ISIC_Rev3"
"2002","L","02","3","M","020","GB_T_4754_2002_ISIC_Rev3"
"2002","L","02","3","S","0200","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","L","01","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","L","03","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","M","012","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","M","015","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","M","031","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","S","0121","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","S","0122","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","S","0150","GB_T_4754_2002_ISIC_Rev3"
"2002","L","03","3","S","0310","GB_T_4754_2002_ISIC_Rev3"
"2002","L","04","3","L","05","GB_T_4754_2002_ISIC_Rev3"
"2002","L","04","3","M","050","GB_T_4754_2002_ISIC_Rev3"
"2002","L","04","3","S","0500","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","L","01","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","L","02","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","L","05","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","L","85","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","M","014","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","M","020","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","M","050","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","M","852","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","S","0140","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","S","0200","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","S","0500","GB_T_4754_2002_ISIC_Rev3"
"2002","L","05","3","S","8520","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","L","10","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","M","101","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","M","102","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","M","103","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","S","1010","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","S","1020","GB_T_4754_2002_ISIC_Rev3"
"2002","L","06","3","S","1030","GB_T_4754_2002_ISIC_Rev3"
"2002","L","07","3","L","11","GB_T_4754_2002_ISIC_Rev3"
"2002","L","07","3","M","111","GB_T_4754_2002_ISIC_Rev3"
"2002","L","07","3","M","112","GB_T_4754_2002_ISIC_Rev3"
"2002","L","07","3","S","1110","GB_T_4754_2002_ISIC_Rev3"
"2002","L","07","3","S","1120","GB_T_4754_2002_ISIC_Rev3"
"2002","L","08","3","L","13","GB_T_4754_2002_ISIC_Rev3"
"2002","L","08","3","M","131","GB_T_4754_2002_ISIC_Rev3"
"2002","L","08","3","M","132","GB_T_4754_2002_ISIC_Rev3"
"2002","L","08","3","S","1310","GB_T_4754_2002_ISIC_Rev3"
"2002","L","08","3","S","1320","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","L","12","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","L","13","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","L","14","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","M","120","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","M","132","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","M","142","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","S","1200","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","S","1320","GB_T_4754_2002_ISIC_Rev3"
"2002","L","09","3","S","1429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","L","14","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","M","141","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","M","142","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","S","1410","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","S","1421","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","S","1422","GB_T_4754_2002_ISIC_Rev3"
"2002","L","10","3","S","1429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","11","3","L","14","GB_T_4754_2002_ISIC_Rev3"
"2002","L","11","3","M","142","GB_T_4754_2002_ISIC_Rev3"
"2002","L","11","3","S","1429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","13","3","L","15","GB_T_4754_2002_ISIC_Rev3"
"2002","L","13","3","M","151","GB_T_4754_2002_ISIC_Rev3"
"2002","L","13","3","M","153","GB_T_4754_2002_ISIC_Rev3"
