"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2011","2017","L","01","01","01","2011_2017"
"2011","2017","L","02","02","02","2011_2017"
"2011","2017","L","03","03","03","2011_2017"
"2011","2017","L","03","82","82","2011_2017"
"2011","2017","L","04","04","04","2011_2017"
"2011","2017","L","05","01","01","2011_2017"
"2011","2017","L","05","05","05","2011_2017"
"2011","2017","L","06","06","06","2011_2017"
"2011","2017","L","07","07","07","2011_2017"
"2011","2017","L","08","08","08","2011_2017"
"2011","2017","L","09","09","09","2011_2017"
"2011","2017","L","10","10","10","2011_2017"
"2011","2017","L","11","11","11","2011_2017"
"2011","2017","L","12","12","12","2011_2017"
"2011","2017","L","13","13","13","2011_2017"
"2011","2017","L","14","14","14","2011_2017"
"2011","2017","L","15","15","15","2011_2017"
"2011","2017","L","16","16","16","2011_2017"
"2011","2017","L","17","17","17","2011_2017"
"2011","2017","L","18","18","18","2011_2017"
"2011","2017","L","19","19","19","2011_2017"
"2011","2017","L","20","20","20","2011_2017"
"2011","2017","L","21","21","21","2011_2017"
"2011","2017","L","22","22","22","2011_2017"
"2011","2017","L","23","23","23","2011_2017"
"2011","2017","L","24","24","24","2011_2017"
"2011","2017","L","25","25","25","2011_2017"
"2011","2017","L","26","26","26","2011_2017"
"2011","2017","L","27","27","27","2011_2017"
"2011","2017","L","28","28","28","2011_2017"
"2011","2017","L","29","29","29","2011_2017"
"2011","2017","L","30","30","30","2011_2017"
"2011","2017","L","31","31","31","2011_2017"
"2011","2017","L","31","33","33","2011_2017"
"2011","2017","L","32","32","32","2011_2017"
"2011","2017","L","32","33","33","2011_2017"
"2011","2017","L","33","33","33","2011_2017"
"2011","2017","L","34","34","34","2011_2017"
"2011","2017","L","34","40","40","2011_2017"
"2011","2017","L","35","34","34","2011_2017"
"2011","2017","L","35","35","35","2011_2017"
"2011","2017","L","35","37","37","2011_2017"
"2011","2017","L","35","39","39","2011_2017"
"2011","2017","L","36","36","36","2011_2017"
"2011","2017","L","37","37","37","2011_2017"
"2011","2017","L","38","38","38","2011_2017"
"2011","2017","L","38","39","39","2011_2017"
"2011","2017","L","39","39","39","2011_2017"
"2011","2017","L","40","35","35","2011_2017"
"2011","2017","L","40","40","40","2011_2017"
"2011","2017","L","41","25","25","2011_2017"
"2011","2017","L","41","41","41","2011_2017"
"2011","2017","L","42","42","42","2011_2017"
"2011","2017","L","43","43","43","2011_2017"
"2011","2017","L","44","44","44","2011_2017"
"2011","2017","L","44","52","52","2011_2017"
"2011","2017","L","45","25","25","2011_2017"
"2011","2017","L","45","45","45","2011_2017"
"2011","2017","L","46","46","46","2011_2017"
"2011","2017","L","47","47","47","2011_2017"
"2011","2017","L","48","48","48","2011_2017"
"2011","2017","L","49","49","49","2011_2017"
"2011","2017","L","50","50","50","2011_2017"
"2011","2017","L","51","51","51","2011_2017"
"2011","2017","L","52","52","52","2011_2017"
"2011","2017","L","53","53","53","2011_2017"
"2011","2017","L","54","54","54","2011_2017"
"2011","2017","L","55","55","55","2011_2017"
"2011","2017","L","56","56","56","2011_2017"
"2011","2017","L","57","57","57","2011_2017"
"2011","2017","L","58","58","58","2011_2017"
"2011","2017","L","58","59","59","2011_2017"
"2011","2017","L","59","59","59","2011_2017"
"2011","2017","L","60","60","60","2011_2017"
"2011","2017","L","61","61","61","2011_2017"
"2011","2017","L","62","62","62","2011_2017"
"2011","2017","L","63","63","63","2011_2017"
"2011","2017","L","64","64","64","2011_2017"
"2011","2017","L","65","64","64","2011_2017"
"2011","2017","L","65","65","65","2011_2017"
"2011","2017","L","66","66","66","2011_2017"
"2011","2017","L","67","67","67","2011_2017"
"2011","2017","L","68","68","68","2011_2017"
"2011","2017","L","69","69","69","2011_2017"
"2011","2017","L","70","70","70","2011_2017"
"2011","2017","L","70","72","72","2011_2017"
"2011","2017","L","70","79","79","2011_2017"
"2011","2017","L","71","71","71","2011_2017"
"2011","2017","L","72","69","69","2011_2017"
"2011","2017","L","72","72","72","2011_2017"
"2011","2017","L","72","75","75","2011_2017"
"2011","2017","L","72","90","90","2011_2017"
"2011","2017","L","73","73","73","2011_2017"
"2011","2017","L","74","74","74","2011_2017"
"2011","2017","L","74","80","80","2011_2017"
"2011","2017","L","74","82","82","2011_2017"
"2011","2017","L","75","75","75","2011_2017"
"2011","2017","L","76","76","76","2011_2017"
"2011","2017","L","77","77","77","2011_2017"
"2011","2017","L","78","78","78","2011_2017"
"2011","2017","L","79","80","80","2011_2017"
"2011","2017","L","80","81","81","2011_2017"
"2011","2017","L","81","82","82","2011_2017"
"2011","2017","L","82","83","83","2011_2017"
"2011","2017","L","83","84","84","2011_2017"
"2011","2017","L","84","85","85","2011_2017"
"2011","2017","L","85","86","86","2011_2017"
"2011","2017","L","86","87","87","2011_2017"
"2011","2017","L","87","88","88","2011_2017"
"2011","2017","L","88","89","89","2011_2017"
"2011","2017","L","89","90","90","2011_2017"
"2011","2017","L","90","91","91","2011_2017"
"2011","2017","L","91","92","92","2011_2017"
"2011","2017","L","92","93","93","2011_2017"
"2011","2017","L","93","94","94","2011_2017"
"2011","2017","L","94","95","95","2011_2017"
"2011","2017","L","95","96","96","2011_2017"
"2011","2017","L","96","97","97","2011_2017"
"2011","2017","M","011","011","011","2011_2017"
"2011","2017","M","012","012","012","2011_2017"
"2011","2017","M","013","013","013","2011_2017"
"2011","2017","M","014","014","014","2011_2017"
"2011","2017","M","015","015","015","2011_2017"
"2011","2017","M","016","016","016","2011_2017"
"2011","2017","M","017","017","017","2011_2017"
"2011","2017","M","019","018","018","2011_2017"
"2011","2017","M","019","019","018","2011_2017"
"2011","2017","M","021","021","021","2011_2017"
"2011","2017","M","022","022","022","2011_2017"
"2011","2017","M","023","023","023","2011_2017"
"2011","2017","M","024","024","024","2011_2017"
"2011","2017","M","025","025","025","2011_2017"
"2011","2017","M","031","031","031","2011_2017"
"2011","2017","M","032","032","032","2011_2017"
"2011","2017","M","033","033","033","2011_2017"
"2011","2017","M","039","039","039","2011_2017"
"2011","2017","M","039","822","039","2011_2017"
"2011","2017","M","041","041","041","2011_2017"
"2011","2017","M","042","042","042","2011_2017"
"2011","2017","M","051","018","051","2011_2017"
"2011","2017","M","051","051","051","2011_2017"
"2011","2017","M","052","052","052","2011_2017"
"2011","2017","M","053","053","053","2011_2017"
"2011","2017","M","054","054","054","2011_2017"
"2011","2017","M","061","061","061","2011_2017"
"2011","2017","M","062","062","062","2011_2017"
"2011","2017","M","069","069","069","2011_2017"
"2011","2017","M","071","071","071","2011_2017"
"2011","2017","M","072","072","072","2011_2017"
"2011","2017","M","081","081","081","2011_2017"
"2011","2017","M","082","082","082","2011_2017"
"2011","2017","M","089","089","089","2011_2017"
"2011","2017","M","091","091","091","2011_2017"
"2011","2017","M","092","092","092","2011_2017"
"2011","2017","M","093","093","093","2011_2017"
"2011","2017","M","101","101","101","2011_2017"
"2011","2017","M","102","102","102","2011_2017"
"2011","2017","M","103","103","103","2011_2017"
"2011","2017","M","109","109","109","2011_2017"
"2011","2017","M","111","111","111","2011_2017"
"2011","2017","M","112","112","112","2011_2017"
"2011","2017","M","119","119","119","2011_2017"
"2011","2017","M","120","120","120","2011_2017"
"2011","2017","M","131","131","131","2011_2017"
"2011","2017","M","132","132","132","2011_2017"
"2011","2017","M","133","133","133","2011_2017"
"2011","2017","M","134","134","134","2011_2017"
"2011","2017","M","135","135","135","2011_2017"
"2011","2017","M","136","132","132","2011_2017"
"2011","2017","M","136","136","136","2011_2017"
"2011","2017","M","137","137","137","2011_2017"
"2011","2017","M","139","139","139","2011_2017"
"2011","2017","M","141","141","141","2011_2017"
"2011","2017","M","142","142","142","2011_2017"
"2011","2017","M","143","143","143","2011_2017"
"2011","2017","M","144","144","144","2011_2017"
"2011","2017","M","145","145","145","2011_2017"
"2011","2017","M","146","146","146","2011_2017"
"2011","2017","M","149","149","149","2011_2017"
"2011","2017","M","151","151","151","2011_2017"
"2011","2017","M","152","152","152","2011_2017"
"2011","2017","M","153","153","153","2011_2017"
"2011","2017","M","161","161","161","2011_2017"
"2011","2017","M","162","162","162","2011_2017"
"2011","2017","M","169","169","169","2011_2017"
"2011","2017","M","171","171","171","2011_2017"
"2011","2017","M","172","172","172","2011_2017"
"2011","2017","M","173","173","173","2011_2017"
"2011","2017","M","174","174","174","2011_2017"
"2011","2017","M","175","175","175","2011_2017"
"2011","2017","M","176","176","176","2011_2017"
"2011","2017","M","177","177","177","2011_2017"
"2011","2017","M","178","178","178","2011_2017"
"2011","2017","M","181","181","181","2011_2017"
"2011","2017","M","182","182","182","2011_2017"
"2011","2017","M","183","183","183","2011_2017"
"2011","2017","M","191","191","191","2011_2017"
"2011","2017","M","192","192","192","2011_2017"
"2011","2017","M","193","193","193","2011_2017"
"2011","2017","M","194","194","194","2011_2017"
"2011","2017","M","195","195","195","2011_2017"
"2011","2017","M","201","201","201","2011_2017"
"2011","2017","M","202","202","202","2011_2017"
"2011","2017","M","203","203","203","2011_2017"
"2011","2017","M","204","204","204","2011_2017"
"2011","2017","M","211","211","211","2011_2017"
"2011","2017","M","212","212","212","2011_2017"
"2011","2017","M","213","213","213","2011_2017"
"2011","2017","M","214","214","214","2011_2017"
"2011","2017","M","219","219","219","2011_2017"
"2011","2017","M","221","221","221","2011_2017"
"2011","2017","M","222","222","222","2011_2017"
"2011","2017","M","223","223","223","2011_2017"
"2011","2017","M","231","231","231","2011_2017"
"2011","2017","M","232","232","232","2011_2017"
"2011","2017","M","233","233","233","2011_2017"
"2011","2017","M","241","241","241","2011_2017"
"2011","2017","M","242","242","242","2011_2017"
"2011","2017","M","243","243","243","2011_2017"
"2011","2017","M","244","244","244","2011_2017"
"2011","2017","M","245","245","245","2011_2017"
"2011","2017","M","246","246","246","2011_2017"
"2011","2017","M","251","251","251","2011_2017"
"2011","2017","M","251","251","254","2011_2017"
"2011","2017","M","251","254","254","2011_2017"
"2011","2017","M","252","252","252","2011_2017"
"2011","2017","M","253","253","253","2011_2017"
"2011","2017","M","261","261","261","2011_2017"
"2011","2017","M","262","262","262","2011_2017"
"2011","2017","M","263","263","263","2011_2017"
"2011","2017","M","264","264","264","2011_2017"
"2011","2017","M","265","265","265","2011_2017"
"2011","2017","M","266","266","266","2011_2017"
"2011","2017","M","267","267","267","2011_2017"
