"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"1986","1994","L","01","01","01","1986_1994"
"1986","1994","L","03","02","02","1986_1994"
"1986","1994","L","04","03","03","1986_1994"
"1986","1994","L","05","04","04","1986_1994"
"1986","1994","L","06","51","51","1986_1994"
"1986","1994","L","07","05","05","1986_1994"
"1986","1994","L","08","06","06","1986_1994"
"1986","1994","L","09","07","07","1986_1994"
"1986","1994","L","10","08","08","1986_1994"
"1986","1994","L","11","09","09","1986_1994"
"1986","1994","L","12","10","10","1986_1994"
"1986","1994","L","13","10","10","1986_1994"
"1986","1994","L","14","11","11","1986_1994"
"1986","1994","L","15","12","12","1986_1994"
"1986","1994","L","16","46","46","1986_1994"
"1986","1994","L","17","13","13","1986_1994"
"1986","1994","L","17","14","14","1986_1994"
"1986","1994","L","18","13","13","1986_1994"
"1986","1994","L","18","14","14","1986_1994"
"1986","1994","L","19","14","14","1986_1994"
"1986","1994","L","19","15","15","1986_1994"
"1986","1994","L","20","16","16","1986_1994"
"1986","1994","L","21","13","13","1986_1994"
"1986","1994","L","21","26","26","1986_1994"
"1986","1994","L","22","17","17","1986_1994"
"1986","1994","L","24","18","18","1986_1994"
"1986","1994","L","25","19","19","1986_1994"
"1986","1994","L","26","20","20","1986_1994"
"1986","1994","L","27","21","21","1986_1994"
"1986","1994","L","28","22","22","1986_1994"
"1986","1994","L","30","24","24","1986_1994"
"1986","1994","L","31","43","43","1986_1994"
"1986","1994","L","33","44","44","1986_1994"
"1986","1994","L","34","25","25","1986_1994"
"1986","1994","L","35","25","25","1986_1994"
"1986","1994","L","35","43","43","1986_1994"
"1986","1994","L","35","45","45","1986_1994"
"1986","1994","L","36","26","26","1986_1994"
"1986","1994","L","37","26","26","1986_1994"
"1986","1994","L","38","27","27","1986_1994"
"1986","1994","L","40","28","28","1986_1994"
"1986","1994","L","41","29","29","1986_1994"
"1986","1994","L","42","29","29","1986_1994"
"1986","1994","L","43","30","30","1986_1994"
"1986","1994","L","43","43","43","1986_1994"
"1986","1994","L","44","30","30","1986_1994"
"1986","1994","L","45","31","31","1986_1994"
"1986","1994","L","45","43","43","1986_1994"
"1986","1994","L","46","31","31","1986_1994"
"1986","1994","L","48","32","32","1986_1994"
"1986","1994","L","49","33","33","1986_1994"
"1986","1994","L","50","50","50","1986_1994"
"1986","1994","L","51","34","34","1986_1994"
"1986","1994","L","52","34","34","1986_1994"
"1986","1994","L","52","43","43","1986_1994"
"1986","1994","L","53","35","35","1986_1994"
"1986","1994","L","53","36","36","1986_1994"
"1986","1994","L","54","36","36","1986_1994"
"1986","1994","L","54","37","37","1986_1994"
"1986","1994","L","54","42","42","1986_1994"
"1986","1994","L","55","35","35","1986_1994"
"1986","1994","L","55","36","36","1986_1994"
"1986","1994","L","56","37","37","1986_1994"
"1986","1994","L","58","40","40","1986_1994"
"1986","1994","L","60","41","41","1986_1994"
"1986","1994","L","61","41","41","1986_1994"
"1986","1994","L","63","42","42","1986_1994"
"1986","1994","L","66","43","43","1986_1994"
"1986","1994","L","67","50","50","1986_1994"
"1986","1994","L","67","93","93","1986_1994"
"1986","1994","L","69","47","47","1986_1994"
"1986","1994","L","71","48","48","1986_1994"
"1986","1994","L","71","50","50","1986_1994"
"1986","1994","L","73","52","52","1986_1994"
"1986","1994","L","73","53","53","1986_1994"
"1986","1994","L","73","55","55","1986_1994"
"1986","1994","L","73","56","56","1986_1994"
"1986","1994","L","73","57","57","1986_1994"
"1986","1994","L","74","60","60","1986_1994"
"1986","1994","L","77","67","67","1986_1994"
"1986","1994","L","79","59","59","1986_1994"
"1986","1994","L","80","73","73","1986_1994"
"1986","1994","L","81","75","75","1986_1994"
"1986","1994","L","82","76","76","1986_1994"
"1986","1994","L","82","80","80","1986_1994"
"1986","1994","L","83","82","82","1986_1994"
"1986","1994","L","84","85","85","1986_1994"
"1986","1994","L","85","86","86","1986_1994"
"1986","1994","L","86","87","87","1986_1994"
"1986","1994","L","87","89","89","1986_1994"
"1986","1994","L","88","90","90","1986_1994"
"1986","1994","L","88","91","91","1986_1994"
"1986","1994","L","89","91","91","1986_1994"
"1986","1994","L","90","92","92","1986_1994"
"1986","1994","L","91","83","83","1986_1994"
"1986","1994","L","91","93","93","1986_1994"
"1986","1994","L","93","68","68","1986_1994"
"1986","1994","L","94","70","70","1986_1994"
"1986","1994","L","95","94","94","1986_1994"
"1986","1994","L","96","95","95","1986_1994"
"1986","1994","L","97","96","96","1986_1994"
"1986","1994","L","98","99","99","1986_1994"
"1986","1994","L",,"03","03","1986_1994"
"1986","1994","L",,"13","13","1986_1994"
"1986","1994","L",,"14","14","1986_1994"
"1986","1994","L",,"15","15","1986_1994"
"1986","1994","L",,"19","19","1986_1994"
"1986","1994","L",,"20","20","1986_1994"
"1986","1994","L",,"22","22","1986_1994"
"1986","1994","L",,"23","23","1986_1994"
"1986","1994","L",,"25","25","1986_1994"
"1986","1994","L",,"26","26","1986_1994"
"1986","1994","L",,"28","28","1986_1994"
"1986","1994","L",,"31","31","1986_1994"
"1986","1994","L",,"33","33","1986_1994"
"1986","1994","L",,"34","34","1986_1994"
"1986","1994","L",,"36","36","1986_1994"
"1986","1994","L",,"37","37","1986_1994"
"1986","1994","L",,"39","39","1986_1994"
"1986","1994","L",,"40","40","1986_1994"
"1986","1994","L",,"42","42","1986_1994"
"1986","1994","L",,"43","43","1986_1994"
"1986","1994","L",,"48","48","1986_1994"
"1986","1994","L",,"49","49","1986_1994"
"1986","1994","L",,"50","50","1986_1994"
"1986","1994","L",,"54","54","1986_1994"
"1986","1994","L",,"57","57","1986_1994"
"1986","1994","L",,"58","58","1986_1994"
"1986","1994","L",,"61","61","1986_1994"
"1986","1994","L",,"62","62","1986_1994"
"1986","1994","L",,"63","63","1986_1994"
"1986","1994","L",,"64","64","1986_1994"
"1986","1994","L",,"65","65","1986_1994"
"1986","1994","L",,"72","72","1986_1994"
"1986","1994","L",,"74","74","1986_1994"
"1986","1994","L",,"75","75","1986_1994"
"1986","1994","L",,"76","76","1986_1994"
"1986","1994","L",,"78","78","1986_1994"
"1986","1994","L",,"79","79","1986_1994"
"1986","1994","L",,"80","80","1986_1994"
"1986","1994","L",,"81","81","1986_1994"
"1986","1994","L",,"84","84","1986_1994"
"1986","1994","L",,"90","90","1986_1994"
"1986","1994","L",,"93","93","1986_1994"
"1986","1994","L",,"97","97","1986_1994"
"1986","1994","L",,"99","99","1986_1994"
"1986","1994","M","011","011","011","1986_1994"
"1986","1994","M","019","019","019","1986_1994"
"1986","1994","M","030","020","020","1986_1994"
"1986","1994","M","041","031","031","1986_1994"
"1986","1994","M","042","032","032","1986_1994"
"1986","1994","M","049","039","039","1986_1994"
"1986","1994","M","051","041","041","1986_1994"
"1986","1994","M","052","042","042","1986_1994"
"1986","1994","M","060","510","510","1986_1994"
"1986","1994","M","071","051","051","1986_1994"
"1986","1994","M","072","052","052","1986_1994"
"1986","1994","M","073","053","053","1986_1994"
"1986","1994","M","074","054","054","1986_1994"
"1986","1994","M","079","059","059","1986_1994"
"1986","1994","M","081","061","061","1986_1994"
"1986","1994","M","082","062","062","1986_1994"
"1986","1994","M","091","071","071","1986_1994"
"1986","1994","M","092","072","072","1986_1994"
"1986","1994","M","093","073","073","1986_1994"
"1986","1994","M","101","081","081","1986_1994"
"1986","1994","M","102","082","082","1986_1994"
"1986","1994","M","103","082","082","1986_1994"
"1986","1994","M","111","091","091","1986_1994"
"1986","1994","M","113","093","093","1986_1994"
"1986","1994","M","115","095","095","1986_1994"
"1986","1994","M","116","096","096","1986_1994"
"1986","1994","M","121","101","101","1986_1994"
"1986","1994","M","122","102","102","1986_1994"
"1986","1994","M","129","109","109","1986_1994"
"1986","1994","M","131","103","103","1986_1994"
"1986","1994","M","132","103","103","1986_1994"
"1986","1994","M","133","103","103","1986_1994"
"1986","1994","M","134","103","103","1986_1994"
"1986","1994","M","140","110","110","1986_1994"
"1986","1994","M","151","121","121","1986_1994"
"1986","1994","M","152","122","122","1986_1994"
"1986","1994","M","160","461","461","1986_1994"
"1986","1994","M","160","462","461","1986_1994"
"1986","1994","M","171","131","131","1986_1994"
"1986","1994","M","172","132","132","1986_1994"
"1986","1994","M","173","141","141","1986_1994"
"1986","1994","M","174","133","133","1986_1994"
"1986","1994","M","174","149","149","1986_1994"
"1986","1994","M","175","134","134","1986_1994"
"1986","1994","M","176","134","134","1986_1994"
"1986","1994","M","177","142","142","1986_1994"
"1986","1994","M","178","135","135","1986_1994"
"1986","1994","M","179","143","143","1986_1994"
"1986","1994","M","180","136","136","1986_1994"
"1986","1994","M","181","144","144","1986_1994"
"1986","1994","M","182","144","144","1986_1994"
"1986","1994","M","182","145","145","1986_1994"
"1986","1994","M","189","139","139","1986_1994"
"1986","1994","M","189","144","144","1986_1994"
"1986","1994","M","189","149","149","1986_1994"
"1986","1994","M","191","151","151","1986_1994"
"1986","1994","M","192","151","151","1986_1994"
"1986","1994","M","193","149","149","1986_1994"
"1986","1994","M","193","152","152","1986_1994"
