"hs_system","hs_level","hs_code","isic_revision","isic_level","isic_code","source"
"HS Combined","HS2","01","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","01","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","01","3","S","0121","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","01","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","02","3","S","1511","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","L","05","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","M","050","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","S","0500","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","03","3","S","1512","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","M","152","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","S","1520","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","04","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","L","05","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","L","93","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","M","012","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","M","050","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","M","930","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","0121","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","0122","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","0500","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","1512","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","9302","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","05","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","L","02","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","M","020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","S","0112","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","06","3","S","0200","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","S","0111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","S","0112","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","07","3","S","1513","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","S","0113","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","08","3","S","1513","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","09","3","L","01","HS_Combined_ISIC_Rev3"
