GB02,GB94
111,110
112,110
113,110
114,110
115,110
116,110
117,110
118,110
119,110
,
121,110
122,110
123,110
,
131,110
132,110
133,110
140,110
,
,
211,200
212,200
213,200
,
221,1210
222,1220
230,200
 ,
310,310
320,310
330,320
340,330
390,390
,
,
411,411
412,412
,
421,421
422,422
,
,
511,510
512,1711
512,1712
512,1713
512,1714
512,1719
519,510
519,190
520,520
,
531,530
539,530
540,540
,
,
610,610
610,620
620,610
690,610
,
710,710
710,720
710,730
790,710
,
810,810
890,821
890,822
,
911,911
912,912
913,914
914,915
915,916
916,931
917,932
919,917
919,919
919,933
919,939
,
921,951
922,952
929,959
,
931,961
932,965
933,966
939,962
939,963
939,964
939,969
,
,
1011,1011
1011,1094
1012,1012
1013,1013
1019,1019
1020,1021
1020,1022
1020,1023
1020,1024
1020,1029
1030,1031
1030,1032
1030,1033
1030,1034
,
1091,1091
1091,1092
1092,1093
1092,1097
1093,1095
1099,1096
1099,1099
1100,1100
,
,
,
,
1310,1311
1310,1312
1320,1314
1320,1315
1320,1319
,
1331,1321
1332,1322
1340,1331
1340,1332
1340,1334
,
1351,1341
1352,1342
1352,1343
,
1361,1351
1362,1352
1362,1353
1362,1354
1363,1317
1364,1359
1369,1359
1370,1390
,
1391,1492
1391,1497
1392,1491
1393,1344
1399,1390
,
,
1411,1412
1419,1413
,
1421,1411
1422,1415
1422,1419
,
1431,1313
1432,1414
1439,1414
1440,1420
,
1451,1431
1451,1432
1452,1433
1453,1434
1453,1435
1459,1439
,
1461,1442
1462,1451
1462,1452
1469,1441
1469,1443
1469,1444
1469,1445
1469,1449
1469,1453
1469,1454
1469,1459
,
1491,1493
1492,1495
1492,1498
1493,1360
1494,2677
1499,1499
,
1510,1511
,
1521,1512
1522,1513
1523,1514
1524,1515
1529,1516
,
1531,1521
1532,1522
1533,1523
1534,1529
1535,1524
1539,1529
1539,1590
1540,1550
,
1610,1610
1620,1620
1690,1690
,
,
1711,1721
1711,1722
1711,1729
1712,1723
,
1721,1741
1722,1742
1722,1743
1722,1749
1723,1744
1730,1761
1730,1762
1730,1769
,
1741,1771
1742,1772
1742,1773
1742,1779
1743,1774
,
1751,1724
1752,1745
1753,1763
1754,1775
1755,2851
1755,2852
1755,2853
1755,2854
1756,1725
1756,1726
1757,1790
1759,1790
1759,1890
,
1761,1781
1762,1782
1763,1783
1769,1789
,
1810,1810
1820,1830
1830,1820
,
1910,1911
1910,1912
1910,1919
,
1921,1921
1922,1922
1923,1923
1923,1924
1923,1925
1924,1929
1929,1929
,
1931,1931
1932,1932
1939,1939
,
1941,1951
1942,1952
,
,
2011,2011
2012,2012
,
2021,2021
2022,2022
2023,2023
2029,2029
,
2031,2031
2032,2033
2032,2031
2039,2031
2039,2673
2040,2040
,
2110,2110
2120,2120
2130,2130
2140,2140
2190,2190
,
2210,2210
,
2221,2221
2222,2223
2223,2224
,
2231,2230
2239,2230
,
,
2311,2311
2312,2413
2319,2312
2320,2319
2330,2320
,
,
2411,2411
2412,2415
2413,2417
2414,2411
2419,2419
,
2421,2421
2422,2423
2423,2429
2424,2429
2429,2859
2429,2429
,
2431,2431
2432,2433
2433,2435
2439,2439
2440,2440
,
2451,2450
2452,2490
,
,
2511,2520
2511,2530
2512,2510
2520,2570
2530,2676
2530,3349
2530,3387
,
2611,2611
2612,2613
2612,2615
2613,2617
2614,2651
2619,2619
,
2621,2621
2622,2622
2623,2623
2624,2624
2625,2629
2629,2625
2629,2629
,
2631,2631
2631,2633
2632,2633
,
2641,2652
2642,2653
2643,2654
2644,2655
2645,2659
,
2651,2661
2651,2662
2651,2663
2651,2664
2651,2665
2652,2666
2653,2667
2659,2669
,
2661,2671
2662,2672
2662,2682
2662,2683
2663,2673
2664,2674
2665,2675
2666,2619
2667,2688
2669,2619
,
2671,2681
2672,2685
2673,2686
2674,2684
2679,2689
2679,2687
,
2710,2710
2720,2720
2730,2730
2740,2730
2750,2740
2760,2750
2770,3654
,
,
2811,2811
2812,2812
2812,2819
,
2821,2821
2822,2822
2823,2823
2824,2824
2829,2829
,
,
2911,2910
2912,2920
2913,2981
2920,2930
2930,2940
2940,2950
2950,2970
2960,2960
2990,2989
2990,2990
3010,3010
3020,3020
3030,3030
3040,3040
3050,3040
3060,3050
3070,3080
,
3081,3060
3082,3070
3090,3090
,
,
3111,3110
3112,3132
,
3121,3121
3122,3123
3123,3124
3124,3124
3129,3129
,
3131,3131
3132,3151
3133,3133
3134,3135
3135,3136
3139,3139
,
3141,3141
3142,3142
3143,3143
3144,3145
3145,3147
3146,3148
3147,3181
3148,3182
3149,3149
3149,3189
,
3151,3151
3152,3153
3153,3155
3159,3159
,
3161,3161
3162,3163
3169,3169
,
3191,3171
3191,3172
3199,3179
3199,3190
3210,3210
3210,3420
3220,3220
3230,3240
3240,3260
,
,
3311,3311
3312,3312
3313,3314
3314,3316
3315,3317
3316,3321
3317,3322
3319,3318
3319,3319
3319,3323
3319,3329
,
3321,3331
