GB02,ISIC02
111,111
112,111
113,111
114,111
115,111
116,111
117,111
118,111
119,111
,
121,112
122,112
123,112
,
131,113
132,113
133,113
140,111
,
,
211,200
212,200
213,200
,
221,200
222,200
230,200
 ,
310,121
320,122
330,122
340,150
390,122
390,310
,
411,500
412,500
,
421,500
422,500
,
,
511,140
512,140
519,140
520,200
,
531,8520
539,140
540,500
,
,
610,1010
620,1020
690,1030
,
710,1110
790,1120
,
810,1310
890,1320
,
,
911,1320
912,1320
913,1320
914,1320
915,1320
916,1320
917,1429
919,1320
,
921,1320
922,1320
929,1320
,
931,1320
932,1320
933,1200
939,1320
,
,
1011,1410
1012,1410
1013,1410
1019,1410
1020,1421
1030,1422
,
1091,1429
1092,1429
1093,1429
1099,1429
,
1100,1429
,
,
,
,
1310,1531
1320,1533
,
1331,1514
1332,1514
1340,1542
,
1351,1511
1352,1511
,
1361,1512
1362,1512
1363,1512
1364,1514
1369,1512
1370,1513
,
1391,1532
1392,1549
1393,1549
1399,1549
,
,
1411,1541
1419,1541
,
1421,1543
1422,1543
,
1431,1544
1432,1544
1439,1544
1440,1520
,
1451,1511
1452,1512
1453,1513
1459,1549
,
1461,1549
1462,1549
1469,1549
1469,1514
1491,1549
1492,1520
1493,2429
1494,1549
1499,1549
,
1510,1551
,
1521,1551
1522,1553
1523,1551
1524,1552
1529,1552
1529,1551
1531,1554
1532,1554
1533,1554
1533,1513
1534,1554
1535,1549
1539,1554
1540,1549
,
1610,1600
1620,1600
1690,1600
,
,
1711,1711
1712,1712
,
1721,1711
1722,1711
1723,1712
1730,1711
,
1741,1711
1742,1711
1743,1712
,
1751,1721
1752,1721
1753,1721
1754,1721
1754,1810
1755,1723
1756,1729
1757,1729
1759,1729
,
1761,1730
1761,1810
1762,1730
1762,1810
1763,1730
1769,1730
,
1810,1810
1820,1920
1830,1810
,
1910,1911
,
1921,1920
1922,1810
1923,1912
1924,1810
1929,1912
,
1931,1820
1932,1820
1939,1820
1939,1810
1941,1511
1942,1721
,
,
2011,2010
2012,2010
,
2021,2021
2022,2021
2023,2021
2029,2021
,
2031,2022
2032,2023
2039,2029
2040,2029
,
2110,3610
2120,3610
2130,3610
2140,3610
2190,3610
,
2210,2101
,
2221,2101
2221,2102
2222,2101
,
2223,2101
,
2231,2102
2239,2109
,
,
2311,2221
2312,2221
2319,2221
2320,2222
2330,2230
,
,
2411,2520
2411,3699
2411,2899
2412,3699
2413,3699
2414,2429
2419,3699
,
2421,3693
2422,3693
2423,3693
2424,3693
2429,3693
,
2431,3692
2432,3692
2433,3692
2439,3692
2440,3694
,
2451,3699
2452,3694
,
,
2511,2320
2512,2320
2520,2310
2530,2330
,
,
2611,2411
2612,2411
2613,2411
2614,2411
2619,2411
,
2621,2412
2622,2412
2623,2412
2624,2412
2625,2412
2629,2412
,
2631,2421
2632,2421
,
2641,2422
2642,2422
2643,2422
2644,2411
2645,2422
,
2651,2413
2652,2413
2653,2413
2653,2411
2659,2413
,
2661,2429
2662,2429
2663,2411
2664,2429
2665,2429
2666,2429
2667,2429
2669,2429
,
2671,2424
2672,2424
2673,2424
2674,2429
2679,2424
,
2710,2423
2720,2423
2730,2423
2740,2423
2750,2423
2760,2423
2770,2423
2770,3699
,
2811,2101
2812,2430
,
2821,2430
2822,2430
2823,2430
2824,2430
2829,2430
,
,
2911,2511
2912,2511
2913,2511
2920,2519
2930,2519
2940,2519
2950,2519
2960,1920
2990,2519
,
3010,2520
3020,2520
3030,2520
3040,2520
3050,2520
3060,2520
3070,2520
,
3081,1920
3082,2520
3090,2520
,
,
3111,2694
3112,2694
,
3121,2695
3122,2695
3123,2695
3124,2695
3129,2695
,
3131,2693
3132,2693
3133,2696
3134,3699
3135,2699
3139,2699
,
3141,2610
3142,2610
3143,2610
3144,2610
3145,2610
3146,2610
3147,2610
3148,2610
3149,2610
,
3151,2691
3152,2691
3153,2691
3159,2691
,
3161,2699
3162,2699
3169,2692
,
3191,2699
3191,3190
3199,2699
,
3210,2710
3220,2710
3230,2710
3240,2710
,
,
3311,2720
3312,2720
3312,2899
3313,2720
3314,2720
3315,2720
3316,2720
3317,2720
3319,2720
,
3321,2720
3322,2720
3329,2720
,
3331,2720
3332,2720
3339,2720
3340,2732
,
3351,2720
3352,2720
3353,2720
,
,
3411,2811
3412,2811
,
3421,2893
3422,2893
3423,2893
3424,2893
3429,2893
,
3431,3420
3432,2812
3433,2899
3440,2899
,
3451,2893
3452,2899
3453,2899
3459,2899
3460,2892
,
3471,2899
3472,2899
3479,2899
,
3481,2899
3482,2899
3482,2893
3489,2899
,
3491,3691
3499,2899
,
,
3511,2813
3511,2812
3512,2911
3513,2911
3514,2911
3519,2911
,
3521,3922
3522,3922
3523,3923
3524,3922
3525,3922
3529,3922
3530,3915
,
3541,2912
3542,2912
3543,2912
3544,2912
,
3551,2913
3552,2913
3560,2914
,
3571,2919
3572,2919
3573,2919
3574,2922
3575,2919
3576,2919
3577,2919
3579,2919
,
3581,2919
3582,2899
3583,2919
3589,2919
,
3591,2731
3592,2891
,
,
3611,2924
3612,2924
3613,2924
3614,2924
3614,2914
3614,2922
3615,2923
3621,2929
3622,2929
3623,2929
3624,2922
3625,2929
3629,2929
,
3631,2925
3632,2925
3633,2925
,
3641,2929
3642,2929
3643,2929
3644,2929
3645,2929
3646,2929
3646,2922
3649,2929
,
3651,2926
3652,2926
3653,2926
3659,2926
,
3661,2926
3662,2926
3663,2927
3669,2926
,
3671,2921
3672,2921
3673,2921
3674,2921
3675,2921
3676,2921
3679,2921
,
3681,3311
3682,3311
3683,3311
3684,3311
3684,3312
3685,3311
3686,3311
3689,3311
,
3691,2929
3692,2929
3693,2930
3694,2919
3695,2929
3696,2929
3697,2929
3699,2929
,
,
3711,3520
3712,3520
3713,3520
3714,3520
3719,3520
,
3721,3410
3722,3410
3723,3410
3724,3420
3725,3430
3726,5020
,
3731,3591
3732,3591
,
3741,3592
3742,3591
,
3751,3511
3752,3511
3753,3512
3754,2929
3755,3511
3759,3511
,
3761,3530
3762,3530
3769,3530
,
3791,2929
3792,2899
3799,3599
,
,
3911,3110
3912,3110
3919,3110
,
3921,3110
3922,3110
3923,3120
3924,3210
3929,3120
,
3931,3130
3932,3130
3933,3190
3939,3190
3940,3140
,
3951,2930
3952,2919
3953,2930
3954,2930
3955,2930
3956,2930
3957,2930
3959,2930
,
3961,2930
3969,2930
,
3971,3150
3972,3150
3979,3150
,
3991,3190
3999,3190
,
,
4011,3220
4012,3220
4013,3220
4014,3220
4014,3230
4019,3220
4020,3312
,
4031,3220
4032,3230
4039,3230
,
4041,3000
4042,3220
4043,3000
,
4051,3210
4052,3210
4053,3210
4059,3210
,
4061,3210
4062,3210
,
4071,3230
4072,3230
4090,3190
,
,
4111,3313
4112,3312
4113,3312
4114,3312
4115,3312
4119,3312
,
4121,3312
4122,3312
4123,3312
4124,3312
4125,3312
4126,3699
4127,3312
4128,3312
4129,3312
4130,3330
,
4141,3320
4142,3320
,
4151,3320
4152,3320
4153,3320
4154,3000
4155,3000
4159,3000
4190,3312
,
,
4211,3699
4211,2029
4211,2695
4212,2899
4213,3699
4214,3699
4215,2029
4216,1729
4217,1722
4217,1721
4218,3691
4219,3699
,
4221,2610
4222,3699
4229,3699
4230,1030
4230,1010
4230,1020
4240,3699
4290,3699
,
4310,3710
4320,3720
,
,
,
4411,4010
4412,4010
4413,4010
4419,4010
4420,4010
4430,4430
,
4500,4020
,
4610,4100
4620,4100
4690,4100
,
,
4710,4520
,
4721,4520
4722,4520
4723,4520
4724,4520
4729,4520
 ,
4800,4530
 ,
4900,4540
,
5010,4510
5020,4550
5090,4520
,4540
,
5110,6010
5120,6010
,
5131,6303
5132,6303
5139,6303
,
5210,6021
5220,6023
,
5231,6303
5232,6303
5239,6303
,
5310,6021
5320,6021
5330,6022
5340,6120
5390,6022
,
,
5411,6110
5412,6110
5413,6120
,
5421,6110
5422,6110
5423,6120
,
5431,6303
5432,6303
,6301
5439,6303
,
 ,
5511,6210
5511,6220
5512,6220
5512,6210
5520,6220
,
5531,6303
5532,6303
5539,6303
,
5600,6030
,
5710,6301
5720,6309
,
5810,6302
5890,6302
,
5910,6411
5990,6412
,
,
,
6011,6420
6012,6420
6019,6420
6020,7240
,
6031,6420
6032,6420
6040,5420
,
6110,7210
6120,7230
6130,7250
6190,7290
,
,
6211,7220
6212,7220
6290,7220
,
,
,
6311,5121
6312,5121
6313,5121
6314,5121
6319,5121
,
6321,5122
6322,5122
6323,5122
6324,5122
6325,5122
6326,5122
6327,5122
6329,5122
,
6331,5131
6332,5131
6333,5131
6334,5139
6335,5139
6339,5139
,
6341,5139
6342,5139
6343,5139
6344,5139
6345,5139
6346,5139
6349,5139
,
6351,5139
6352,5139
6353,5139
,
6361,5141
6362,5141
6363,5143
6364,5142
6365,5143
6366,5149
6367,5149
6368,5149
6369,5149
6369,5143
6371,5150
6372,5150
6373,5143
6373,5139
6374,5139
6375,5150
6376,5150
6379,5150
6380,5110
 ,
6391,5149
6399,5190
,
,
6511,5219
6512,5211
6519,5211
,
6521,5220
6522,5220
6523,5220
6524,5220
6525,5220
6526,5220
6529,5220
,
6531,5232
6532,5232
6533,5232
6534,5239
6535,5231
6539,5233
,
6541,5239
6542,5239
6543,5239
6544,5239
6545,5239
6546,5239
6547,5239
6547,5240
6548,5239
6549,5239
,
6551,5231
6552,5231
,
6561,5010
6562,5030
6563,5040
6564,5050
,
6571,5233
6572,5239
6573,5239
6579,5239
,
6581,5234
6582,5233
6583,5234
6589,5239
,
6591,5252
6592,5251
6593,5239
6594,5239
6595,5240
6599,5259
 ,5239
,
6610,5510
6620,5510
6690,5510
,
6710,5520
6720,5520
6730,5520
6790,5520
,
,
6810,6511
6820,6519
6890,6592
,
6910,6711
6920,6712
6930,6599
6940,6719
,
7010,6601
7010,6602
7020,6603
7030,6720
,
7110,6712
7120,6591
7130,6719
7140,6519
7150,6592
7190,6719
,
,
7210,7010
7220,7220
7230,7220
7290,7220
,
,
,
7311,7111
7312,7121
7313,7122
7314,7123
7319,7129
7319,7112
7319,7113
7321,7130
7329,7130
,
 ,
7411,7414
7412,7414
7419,7414
,
7421,7411
7422,7411
7429,7411
,
7431,7412
7432,7413
7433,7414
7439,7414
7440,7430
7450,7499
7460,7491
7470,7499
7480,6304
,
7491,7499
7492,7495
7493,7592
7494,7499
7499,7499
,
,
7510,7310
7520,7310
7530,7310
7540,7310
7550,7320
,
7610,7421
7620,7421
7630,7421
7640,7421
7650,7422
7660,7422
,
7671,7421
7672,7421
7673,7421
7690,7421
,
7710,7414
7720,7414
7790,7414
,
,
7811,7421
7812,7421
7819,7421
7820,7421
7830,7421
,
,
7910,4100
 ,
7921,4100
7922,4100
7929,4100
7990,4100
,
,
8011,9233
8012,9233
8019,9233
,
8021,7512
8022,9000
8023,9000
8024,9000
8029,9000
,
8110,7512
8110,4520
8120,140
,
8131,9233
8132,9233
8132,140
8139,9233
,
,
8210,9500
8220,8532
8230,9301
8240,9302
8250,9309
8260,9309
8270,9303
8280,7494
8290,9309
,
,
8311,5020
8312,7250
8313,5260
8319,5260
,
8321,7493
8329,7493
8329,9301
8390,9309
,
,
8410,8010
8420,8010
,
8431,8021
8432,8021
8433,8021
8434,8022
8435,8022
8439,8090
8439,7523
8441,8030
8442,8090
,
8491,8090
8492,8010
8499,8090
,
,
,
8511,8511
8512,8511
8513,8512
8514,8513
8515,8514
8516,8515
8520,8512
8530,8512
8540,8519
8550,8519
8560,8519
8570,8519
8590,8519
,
8600,7530
,
,
8711,8531
8712,8531
8720,8532
,
,
8810,9220
,
8821,2211
8822,2212
8823,2212
8824,2213
8825,2213
8829,2219
,
8910,9213
8920,9213
,
8931,9211
8932,9212
8940,9211
8940,9249
9010,9214
9020,9214
 ,
9031,9231
9032,9231
9040,9232
9050,9232
9060,9232
9070,9214
9080,7499
9090,9232
,
9110,9241
9120,9241
9190,9241
,
9210,9219
9220,9219
9230,9241
9290,9249
,
 ,
9300,7511
,
9410,7511
,
9421,7511
9422,7521
9423,7523
9424,7512
9425,7513
9426,7514
9427,7512
 ,
9431,7523
9432,7523
9490,7522
 ,
9510,7511
9520,9192
,
,
9611,9120
9612,9199
9613,9199
9619,9199
,
9621,9112
9622,9111
9629,9199
9630,9191
,
9710,7511
9720,7511
,
 ,
9800,9900
