S_2011,S_2017,pdf_page,source_line
0111,0111,94,0111 稻谷种植 0111 稻谷种植
0112,0112,94,0112 小麦种植 0112 小麦种植
0113,0113,94,0113 玉米种植 0113 玉米种植
0119,0119,94,0119 其他谷物种植 0119 其他谷物种植
0121,0121,94,0121 豆类种植 0121 豆类种植
0122,0122,94,0122 油料种植 0122 油料种植
0123,0123,94,0123 薯类种植 0123 薯类种植
0131,0131,94,0131 棉花种植 0131 棉花种植
0132,0132,94,0132 麻类种植 0132 麻类种植
0133,0133,94,0133 糖料种植 0133 糖料种植
0134,0134,94,0134 烟草种植 0134 烟草种植
0141,0141,94,0141 蔬菜种植 0141 蔬菜种植
0142,0142,94,0142 食用菌种植 0142 食用菌种植
0143,0143,94,0143 花卉种植 0143 花卉种植
0149,0149,94,0149 其他园艺作物种植 0149 其他园艺作物种植
0151,0151,94,0151 仁果类和核果类水果种植 0151 仁果类和核果类水果种植
0152,0152,94,0152 葡萄种植 0152 葡萄种植
0153,0153,94,0153 柑橘类种植 0153 柑橘类种植
0154,0154,94,0154 香蕉等亚热带水果种植 0154 香蕉等亚热带水果种植
0159,0159,94,0159 其他水果种植 0159 其他水果种植
0161,0161,95,0161 坚果种植 0161 坚果种植
0162,0162,95,0162 含油果种植 0162 含油果种植
0163,0163,95,0163 香料作物种植 0163 香料作物种植
0169,0164,95,0164 茶叶种植 0169 茶及其他饮料作物种植 新增，将原 0169 分解
0169,0169,95,0169 其他饮料作物种植 0169 茶及其他饮料作物种植 新增，将原 0169 分解
0170,0171,95,0171 中草药种植 0170 中药材种植 新增，将原 0170 分解
0170,0179,95,0179 其他中药材种植 0170 中药材种植 新增，将原 0170 分解
0190,0181,95,0181 草种植 0190 其他农业 新增，将原 0190 分解
0519,0182,95,0182 天然草原割草 0519 其他农业服务 新增，原 0519 部分内容调到此
0190,0190,95,0190 其他农业 0190 其他农业 内容变更，原 0190 部分内容调
0211,0211,95,0211 林木育种 0211 林木育种
0212,0212,95,0212 林木育苗 0212 林木育苗
0220,0220,95,0220 造林和更新 0220 造林和更新
0230,0231,95,0231 森林经营和管护 0230 森林经营和管护 新增，将原 0230 分解
0230,0232,95,0232 森林改培 0230 森林经营和管护 新增，将原 0230 分解
0241,0241,95,0241 木材采运 0241 木材采运
0242,0242,95,0242 竹材采运 0242 竹材采运
0251,0251,95,0251 木竹材林产品采集 0251 木竹材林产品采集
0252,0252,95,0252 非木竹材林产品采集 0252 非木竹材林产品采集
0311,0311,95,0311 牛的饲养 0311 牛的饲养
0312,0312,95,0312 马的饲养 0312 马的饲养
0313,0313,96,0313 猪的饲养 0313 猪的饲养
0314,0314,96,0314 羊的饲养 0314 羊的饲养
0315,0315,96,0315 骆驼饲养 0315 骆驼饲养
0319,0319,96,0319 其他牲畜饲养 0319 其他牲畜饲养
0321,0321,96,0321 鸡的饲养 0321 鸡的饲养
0322,0322,96,0322 鸭的饲养 0322 鸭的饲养
0323,0323,96,0323 鹅的饲养 0323 鹅的饲养
0329,0329,96,0329 其他家禽饲养 0329 其他家禽饲养
0330,0330,96,0330 狩猎和捕捉动物 0330 狩猎和捕捉动物
0390,0391,96,0391 兔的饲养 0390 其他畜牧业 新增，将原 0390 分解
0390,0392,96,0392 蜜蜂饲养 0390 其他畜牧业 新增，将原 0390 分解
0390,0399,96,0399 其他未列明畜牧业 0390 其他畜牧业 新增，将原 0390 分解，部分内
0411,0411,96,0411 海水养殖 0411 海水养殖
0412,0412,96,0412 内陆养殖 0412 内陆养殖
0421,0421,96,0421 海水捕捞 0421 海水捕捞
0422,0422,96,0422 内陆捕捞 0422 内陆捕捞
0519,0511,96,0511 种子种苗培育活动 0519 其他农业服务 新增，原 0519 部分内容调到此
0511,0512,96,0512 农业机械活动 0511 农业机械服务 更名
0512,0513,96,0513 灌溉活动 0512 灌溉服务 更名
0513,0514,96,0514 农产品初加工活动 0513 农产品初加工服务 更名
0519,0515,96,0515 农作物病虫害防治活动 0519 其他农业服务 新增，原 0519 部分内容调到此
0519,0519,96,0519 其他农业专业及辅助性活动 0519 其他农业服务 更名，内容变更，原 0519 部分
0521,0521,97,0521 林业有害生物防治活动 0521 林业有害生物防治服务 更名
0522,0522,97,0522 森林防火活动 0522 森林防火服务 更名
0523,0523,97,0523 林产品初级加工活动 0523 林产品初级加工服务 更名
